first_name,last_name,dob,country_code,id_number,email,phone,risk_flag,status
Andrew,Williams,1960-05-29,ES,145-55-8267,cmcknight@example.net,9086352956,Low,Pending
David,Armstrong,1964-02-01,EC,813-26-0849,collinsgary@example.org,8546333346,Low,Verified
Kevin,Flores,1945-09-25,MK,456-44-6761,brooke98@example.com,001-436-823-5981x81562,Low,Flagged
Andrea,Young,1951-07-23,GT,581-19-9891,rharrington@example.net,(212)886-7921,Low,Verified
Nathan,Davis,1946-06-01,MY,645-24-5398,dennisfigueroa@example.net,(243)745-6352,Low,Flagged
Phillip,Miller,1956-10-23,TD,335-29-5256,ipatterson@example.org,+1-779-498-5707x44444,Low,Flagged
Katherine,Paul,1985-02-10,AE,353-78-1299,fclarke@example.net,001-248-686-4023x2069,High,Flagged
Michael,Pennington,1961-04-11,TJ,848-18-0668,corey11@example.com,384.997.4767x2833,Low,Flagged
Steven,Mcbride,1973-10-15,MK,057-41-9266,odonnellshelia@example.net,+1-241-918-8814,Low,Flagged
Karen,Bell,2006-01-22,TW,716-13-1002,deborahmcintyre@example.net,264-723-5715,Low,Flagged
Pamela,Reed,1944-12-19,CL,108-93-9850,bbaxter@example.net,549-346-5335,Low,Pending
Danielle,Walsh,1986-02-02,PK,058-83-2653,nosborne@example.com,383.604.5211x037,High,Verified
Joseph,Snow,1947-04-18,MZ,663-17-1669,brian04@example.net,(442)424-2603x540,Low,Flagged
Thomas,Coleman,1998-03-02,AT,250-09-3852,williamstimothy@example.net,6604015502,Low,Pending
Lisa,Smith,1968-07-04,SK,865-16-7893,monique08@example.net,001-764-569-0399x661,High,Verified
Emily,Roach,1958-09-21,CV,038-28-2109,bradleywang@example.org,(673)631-4548x594,Low,Flagged
Michael,Schroeder,1966-04-16,BZ,365-33-8202,zbeltran@example.org,253-607-7659x2548,Low,Verified
Tony,Parker,1956-06-10,AF,669-67-2217,shelbykennedy@example.com,6147058897,Low,Pending
Regina,Russell,1980-08-06,SC,694-09-0036,billywells@example.net,702-824-2142,Low,Verified
Lisa,Suarez,1973-06-06,ML,677-40-3540,kellyrusso@example.com,992-256-1550,Low,Flagged
Stacey,Heath,1965-12-21,PL,721-04-2064,yclark@example.com,681-816-2658,Low,Verified
James,Vargas,1991-12-14,MM,759-99-7509,yelliott@example.com,947.952.8723x656,Low,Pending
Samantha,Hall,1954-07-16,BE,199-07-3324,michael84@example.net,(230)910-8405x828,Low,Flagged
