customer_id,first_name,last_name,dob,country_code,id_number,email,phone,risk_flag,age
16,Kristen,Nelson,1991-08-09,CA,294-94-0468,zruiz@example.org,737.502.6308x358,High,34
32,Sara,Hill,1991-01-21,BI,120-22-8811,rushkaren@example.net,+1-892-883-9681x777,High,34
37,Paul,Meza,1954-08-27,LU,223-44-6849,davidstone@example.com,001-710-336-3060,High,71
50,Lisa,Wilson,1974-12-18,MM,218-31-9285,nserrano@example.org,(332)831-0741x97017,High,51
51,Kathryn,Brown,1959-03-05,NG,020-46-3009,harrismichael@example.net,+1-518-532-4844x1137,High,66
53,Gregory,David,1970-03-15,SI,784-84-3645,geraldmyers@example.com,811-876-4990x094,High,55
85,Jacqueline,Watson,1948-10-28,LV,185-34-0333,mary28@example.net,+1-643-227-2561,High,77
123,Jim,Edwards,1985-10-22,ZA,679-58-8813,brandonmoore@example.org,259-927-6364,High,40
135,Laurie,Mclaughlin,1971-09-03,CG,563-19-4315,yclark@example.com,+1-766-940-6437,High,54
136,Anthony,Avila,1963-10-10,CO,682-02-0199,earlbell@example.com,001-748-288-3974x4211,High,62
146,Richard,Short,1950-06-10,TD,779-32-4502,gphillips@example.net,(872)510-3396x86771,High,75
148,Joseph,Baker,1983-02-16,NG,425-63-9332,yutracey@example.com,468-565-1889x9793,High,42
153,Jill,Kelly,1970-06-26,LS,055-34-6142,greenmichele@example.org,522.741.3805x07612,High,55
160,Jessica,Riley,2005-05-16,KP,837-37-7791,kmoore@example.com,343.831.3053x989,High,20
173,Carrie,Jackson,1961-01-13,PK,107-81-6927,michael63@example.org,+1-338-682-9771x10128,High,64
180,Marvin,Martin,1947-12-17,NG,274-24-0475,bwilson@example.net,414-888-3630x8295,High,78
183,Lauren,Cabrera,1992-11-11,MT,328-27-7167,washingtonmary@example.org,+1-838-510-7843x794,High,33
184,Angela,Clayton,1989-06-16,SD,496-76-7033,dukejessica@example.com,(584)445-1261x911,High,36
209,Edwin,Johnson,1958-10-25,NG,171-45-5263,jeremychristensen@example.org,+1-344-692-1660x95563,High,67
246,Jeffrey,Peterson,1953-04-03,SD,161-52-1845,michelle86@example.net,+1-855-573-4244x9815,High,72
269,Kathy,Henderson,1991-10-20,MC,124-30-5996,johnsonjohn@example.com,(795)606-2104,High,34
279,James,Richardson,1988-03-08,BE,540-62-3110,charles54@example.com,333-336-7285x636,High,37
291,James,Skinner,1987-09-28,HT,402-08-7700,zamorarobert@example.com,001-285-466-5116x906,High,38
308,Sarah,York,1984-01-05,PS,120-55-2751,harrisdavid@example.net,+1-214-480-5276x9964,High,41
313,Renee,Barnes,1952-09-26,BZ,474-32-5621,gordondawn@example.org,444.454.2642,High,73
320,Nicholas,Rodriguez,1983-07-11,SN,287-55-4537,selenabass@example.com,340-359-4728,High,42
342,Brandon,Wilson,1975-11-15,SK,447-27-4611,wardtara@example.com,+1-329-460-7980,High,50
